First,Last,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt,SLpM,Str.Acc,SApM,Str.Def,TD Avg,TD Acc,TD Def,Sub. Avg
Brian,Ebersole,Bad Boy,"6' 0""",170 lbs.,"73.0""",Southpaw,51,18,1,0,2.32,49%,2.14,56%,1.7,23%,61%,0.1
Roybert,Echeverria,The Unbroken,"5' 5""",125 lbs.,"67.0""",Switch,7,1,0,0,2.95,53%,2.52,57%,0,0%,71%,2.6
Mark,Eddiva,,"5' 8""",145 lbs.,"68.0""",Orthodox,6,3,0,0,3.37,45%,2.98,54%,1.45,22%,63%,0
Frankie,Edgar,The Answer,"5' 6""",135 lbs.,"68.0""",Orthodox,23,11,1,0,3.77,40%,2.82,65%,2.29,31%,65%,0.3
Abdul-Kerim,Edilov,,"6' 2""",205 lbs.,--,Orthodox,17,4,0,0,10.22,61%,0.13,92%,3.98,100%,0%,2
Johnny,Eduardo,,"5' 7""",135 lbs.,"71.0""",Orthodox,28,13,0,0,2.95,39%,3.22,63%,0.22,20%,58%,0.4
Yves,Edwards,,"5' 9""",155 lbs.,"73.0""",Southpaw,42,22,1,0,2.91,42%,2.34,66%,0.76,53%,69%,0.7
Justin,Edwards,Fast Eddy,"5' 10""",155 lbs.,"70.0""",Orthodox,9,5,0,0,2.68,42%,3.32,51%,2.14,26%,27%,1
Leon,Edwards,Rocky,"6' 2""",170 lbs.,"74.0""",Southpaw,21,3,0,1,2.8,53%,2.4,53%,1.26,33%,69%,0.3
Te,Edwards,,"5' 8""",155 lbs.,"72.0""",Orthodox,6,3,0,0,1.5,41%,4.15,44%,0.72,100%,44%,0
Adli,Edwards,,--,145 lbs.,--,,4,1,0,0,0,0%,0,0%,0,0%,0%,0
Joselyne,Edwards,La Pantera,"5' 8""",135 lbs.,"70.0""",Orthodox,13,5,0,0,4.71,52%,3.36,50%,1,33%,64%,0.3
Tom,Egan,,"5' 11""",170 lbs.,--,Orthodox,7,5,0,0,0,0%,3.91,50%,0,0%,28%,0
Stephanie,Egger,,"5' 6""",125 lbs.,"68.0""",Orthodox,8,4,0,0,1.93,53%,2.08,53%,3.04,40%,50%,0.8
Justin,Eilers,The Hammer,"6' 1""",235 lbs.,--,Orthodox,19,7,1,0,2.86,43%,5.66,49%,0.82,25%,50%,0
Jon Olav,Einemo,The Viking,"6' 6""",253 lbs.,--,Orthodox,6,3,0,0,2.15,52%,3.05,52%,1.73,55%,43%,0
Per,Eklund,,"5' 10""",155 lbs.,"72.0""",Orthodox,14,5,1,0,2.07,61%,2.38,67%,2.07,11%,50%,3.6
John,Elam,,--,--,--,,2,0,0,0,0,0%,0,0%,0,0%,0%,0
Evan,Elder,The Phenom,"5' 10""",155 lbs.,"72.0""",Switch,8,2,0,0,4.75,48%,5,57%,0.74,22%,28%,0.4
John Paul,Elias,,"6' 4""",205 lbs.,--,,3,1,0,0,0,0%,0,0%,0,0%,0%,0
Joao,Elias,Alicate,"5' 3""",125 lbs.,"64.0""",Southpaw,17,4,1,0,0.4,50%,6.47,20%,0,0%,50%,0
Saul,Elizondo,,"5' 7""",135 lbs.,--,,6,8,0,0,2.07,30%,4.93,48%,2,100%,66%,1
Darren,Elkins,The Damage,"5' 10""",145 lbs.,"71.0""",Orthodox,28,11,0,0,3.44,38%,3.27,52%,2.85,35%,56%,1.1
